obs	fvec	action	reward
8	[ 0.  1.  0.  0.  0.  1.  1.]	1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	-1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	-1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	-1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	-1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	1	0
6	[ 0.  0.  0.  1.  0.  1.  1.]	-1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	-1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	-1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	-1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	-1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	-1	0
9	[ 0.  1.  1.  0.  1.  0.  0.]	-1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	1	0
7	[ 1.  0.  0.  1.  1.  0.  0.]	1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	-1	0
9	[ 0.  1.  1.  0.  1.  0.  0.]	1	0
10	[ 0.  1.  0.  1.  0.  1.  0.]	1	0
11	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
10	[ 0.  1.  0.  1.  0.  1.  0.]	1	0
11	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
12	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
13	[ 1.  0.  1.  0.  0.  1.  0.]	1	0
12	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
11	[ 1.  0.  0.  0.  0.  1.  1.]	1	0
10	[ 0.  1.  0.  1.  0.  1.  0.]	1	0
11	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
10	[ 0.  1.  0.  1.  0.  1.  0.]	1	0
11	[ 1.  0.  0.  0.  0.  1.  1.]	1	0
12	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
13	[ 1.  0.  1.  0.  0.  1.  0.]	-1	0
14	[ 0.  1.  0.  1.  0.  1.  0.]	1	0
13	[ 1.  0.  1.  0.  0.  1.  0.]	-1	0
12	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
11	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
12	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
11	[ 1.  0.  0.  0.  0.  1.  1.]	1	0
12	[ 1.  0.  0.  0.  0.  1.  1.]	1	0
11	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
12	[ 1.  0.  0.  0.  0.  1.  1.]	-1	0
13	[ 1.  0.  1.  0.  0.  1.  0.]	-1	0
14	[ 0.  1.  0.  1.  0.  1.  0.]	1	0
15	[ 0.  0.  1.  1.  1.  0.  0.]	1	1
-1	[ 0.  0.  0.  0.  0.  0.  0.]	1	0
8	[ 0.  1.  0.  0.  0.  1.  1.]	-1	0
